Type;Modulus;Size;Skip Values;Skip Type;Result
Curves;12;12;1;v2;2
Circles;15;56;3,6,9,12,15,18;original;1
Circles;17;17;5,10,15,20,25,30,35,40;v2;1
Curves;5;54;2,3,4,5,6,7,8;original;1
Squares;20;17;3,6;original;1
Squares;29;29;2,3,4,5,6,7,8;v2;1
Squares;19;10;10,20,30,40,50;original;1
Squares;9;9;2,4,6,8,10,12;v2;1
Squares;14;14;5,10,15,20,25,30;v2;1
Squares;16;29;10,20,30,40,50,60;original;1
Squares;13;40;1,2;original;1
Circles;13;47;1,2,3;original;0
Stripes;19;19;3;v2;1
Squares;13;97;2,4,6;original;1
Circles;11;73;1,2,3;original;0
Stripes;3;3;3,6,9,12,15,18,21,24;v2;1
Squares;26;26;2,3,4,5,6,7,8;v2;1
Stripes;8;54;2,4,6;original;1
Stripes;17;17;3,6,9,12,15,18;v2;1
Stripes;27;27;1,2,3,4,5;v2;1
Curves;24;23;2,4,6;original;0
Stripes;24;53;2,3,4,5,6,7,8;original;0
Stripes;18;90;2,3,4,5,6,7,8;original;1
Curves;29;96;3,6,9,12,15,18,21;original;0
Curves;14;84;1,2,3,4,5,6;original;0
Curves;23;55;2,4;original;0
Curves;3;88;5,10,15,20,25,30,35;original;0
Squares;5;67;3,6,9;original;1
Circles;4;4;10,20,30,40,50,60,70,80;v2;1
Squares;20;20;5,10,15;v2;1
Circles;11;11;10,20;v2;1
Circles;19;19;2,4,6,8,10,12;v2;1
Stripes;9;9;10;v2;1
Stripes;29;92;2;original;1
Squares;23;23;2,4,6,8,10,12,14;v2;1
Curves;12;63;10,20,30,40,50;original;0
Curves;24;86;1,2;original;0
Circles;19;56;10,20,30,40,50,60;original;0
Squares;29;90;2,4,6,8,10,12;original;1
Curves;2;4;2,3,4,5,6,7,8;original;1
Stripes;19;24;3,6,9,12,15;original;1
Stripes;19;19;3,6,9,12;v2;1
Curves;15;54;5,10;original;1
Curves;14;59;10,20,30,40,50,60,70;original;0
Curves;17;93;3,6,9;original;0
Stripes;24;24;5,10,15,20,25,30;v2;1
Curves;8;97;10,20,30,40,50;original;0
Curves;7;7;2,4,6,8,10,12,14;v2;1
Squares;16;16;2;v2;2
Circles;25;25;1,2;v2;2
Stripes;9;9;5,10,15,20,25,30;v2;0
Curves;28;10;3,6,9,12,15,18;original;0
Squares;10;33;1,2,3,4,5;original;1
Stripes;19;37;3,6;original;1
Squares;15;79;10,20,30,40,50,60,70;original;1
Squares;27;27;5,10,15,20,25,30,35,40;v2;1
Circles;13;13;10,20,30,40,50,60,70,80;v2;1
Circles;29;29;2,4,6,8,10,12,14,16;v2;1
Stripes;2;2;10,20,30,40,50,60;v2;1
Squares;26;30;5;original;1
Circles;16;16;1,2,3,4,5,6,7;v2;1
Circles;19;19;5,10;v2;0
Squares;16;73;5,10;original;1
Circles;13;49;10,20,30;original;0
Curves;27;97;3,6,9,12;original;0
Circles;18;72;2,4,6,8,10;original;0
Stripes;6;21;2;original;1
Squares;5;8;3,6,9;original;1
Stripes;9;41;2,3,4,5,6,7,8;original;1
Curves;21;21;5,10,15,20,25;v2;1
Squares;4;36;2,4,6,8,10,12,14;original;0
Curves;26;26;3,6,9,12;v2;1
Squares;23;67;1,2;original;1
Curves;12;27;2,4,6,8,10,12,14;original;1
Curves;25;50;1,2,3,4,5;original;0
Squares;26;72;3,6,9,12,15,18;original;0
Curves;20;20;2;v2;2
Curves;28;28;1,2;v2;2
Squares;2;16;10;original;1
Stripes;15;51;2,3,4,5,6,7,8;original;1
Squares;20;49;10,20,30,40;original;1
Stripes;5;5;5,10,15,20,25,30,35,40;v2;1
Stripes;22;22;5,10,15;v2;1
Circles;26;6;5,10,15;original;1
Squares;3;3;10,20,30;v2;1
Stripes;28;28;2,4,6,8,10;v2;1
Curves;16;16;3,6,9,12,15,18,21;v2;1
Stripes;14;14;3,6;v2;1
Squares;18;73;1,2,3,4;original;1
Circles;28;48;10;original;0
Squares;20;20;3,6;v2;0
Circles;27;89;5,10,15;original;0
Stripes;26;26;5,10,15,20,25,30,35;v2;1
Curves;24;95;10,20,30,40,50;original;0
Squares;23;23;2,4,6,8,10,12;v2;0
Stripes;23;23;1,2;v2;0
Curves;6;68;1,2,3,4,5,6;original;0
Stripes;9;9;2;v2;0
Curves;12;12;2,4;v2;0
Stripes;24;11;10;original;1
Stripes;18;28;1,2,3,4,5,6,7,8;original;1
Circles;14;14;10,20,30,40;v2;1
Stripes;17;74;1,2,3,4;original;1
Circles;13;13;2,4,6,8,10,12;v2;1
Stripes;18;94;2,4;original;1
Squares;12;24;1;original;1
Squares;7;27;3,6,9,12,15,18,21,24;original;1
Curves;25;25;3,6,9;v2;1
Circles;2;2;1,2,3,4,5;v2;1
Squares;11;41;2,3,4,5,6,7,8;original;1
Stripes;13;13;1,2,3,4,5,6;v2;1
Circles;10;86;3,6,9,12,15,18;original;1
Curves;7;99;2,4,6,8,10;original;0
Curves;10;14;5;original;1
Curves;3;97;10,20,30,40,50,60;original;1
Stripes;5;27;1,2,3,4,5;original;1
Squares;11;11;5,10,15,20;v2;1
Stripes;29;52;1,2,3,4;original;1
Curves;8;91;2,3,4,5,6,7,8;original;0
Stripes;8;70;2,3,4,5,6,7,8;original;1
Curves;4;50;3;original;0
Squares;14;80;10,20,30,40;original;1
Circles;12;12;1,2;v2;2
Circles;3;31;2,4,6;original;1
Stripes;13;85;1,2,3,4,5,6,7;original;1
Circles;16;16;2,3,4,5,6,7,8;v2;1
Circles;25;25;10,20,30,40,50,60,70,80;v2;1
Circles;25;25;3,6,9,12,15,18,21,24;v2;1
Curves;26;26;2,4,6,8,10,12,14,16;v2;1
Circles;4;4;2,4,6,8;v2;1
Circles;20;52;1,2,3,4,5,6,7;original;0
Circles;17;17;1,2,3,4,5,6,7,8;v2;1
Circles;6;68;2,4;original;0
Circles;28;28;2,4,6;v2;0
Curves;22;84;10,20,30,40,50,60,70;original;0
Circles;27;70;3,6,9,12,15,18,21;original;0
Circles;24;73;2,4,6;original;0
Stripes;4;87;1,2;original;1
Squares;24;24;5,10,15,20,25,30,35,40;v2;1
Squares;25;22;3,6,9,12,15,18,21,24;original;1
Curves;6;6;5,10,15,20,25,30;v2;0
Curves;13;13;2,4,6,8,10,12;v2;1
Stripes;27;27;3,6,9,12,15,18,21;v2;1
Curves;26;26;2,4,6;v2;1
Squares;4;24;5;original;0
Curves;28;40;1;original;0
Curves;7;7;2,3,4,5,6,7,8;v2;0
Squares;16;16;2,3,4,5,6,7,8;v2;0
Stripes;11;51;5,10,15,20,25,30,35;original;0
Circles;12;12;1,2;v2;2
Squares;20;20;10,20,30,40;v2;0
Circles;5;99;2,4,6,8;original;1
Stripes;3;54;5,10,15,20;original;1
Squares;9;15;2,3,4,5,6,7,8;original;1
Stripes;27;27;5,10,15;v2;1
Squares;18;18;3,6,9,12,15,18;v2;1
Stripes;17;91;2,4;original;1
Stripes;27;27;2,3,4,5,6,7,8;v2;1
Curves;25;35;1,2,3,4,5,6;original;1
Squares;22;34;1,2;original;1
Stripes;24;24;1,2,3,4,5,6,7;v2;1
Circles;17;54;3,6,9,12,15,18;original;0
Circles;12;76;3,6,9;original;0
Circles;20;20;3,6;v2;0
Curves;2;56;10,20,30,40,50,60;original;1
Stripes;21;20;1,2,3,4,5,6,7,8;original;1
Curves;3;24;2,3,4,5,6,7,8;original;1
Curves;4;4;3,6,9,12,15,18,21;v2;1
Squares;20;20;2,4;v2;0
Squares;19;19;5,10,15,20,25,30,35;v2;0
Stripes;26;26;1,2,3,4,5;v2;0
Curves;23;23;5,10,15,20,25,30,35,40;v2;0
Stripes;10;10;2,4,6,8,10;v2;0
Circles;24;24;1,2;v2;2
Stripes;5;39;3,6;original;1
Stripes;14;52;3,6;original;1
Curves;15;15;10,20,30,40,50;v2;1
Circles;7;7;2,3,4,5,6,7,8;v2;1
Squares;7;7;10,20,30,40,50;v2;1
Stripes;21;68;10;original;1
Squares;7;7;2,4,6,8,10,12,14,16;v2;1
Circles;2;75;2,3,4,5,6,7,8;original;1
Stripes;2;2;2,4,6;v2;1
Squares;2;2;1,2,3,4,5,6;v2;1
Squares;16;16;1,2,3,4,5;v2;1
Squares;9;91;3,6,9,12,15,18;original;1
Squares;22;89;3,6,9,12,15,18,21,24;original;1
Circles;15;15;1,2,3;v2;0
Stripes;26;28;10,20,30,40,50;original;1
Curves;9;9;3,6,9,12,15,18,21;v2;1
Curves;13;13;2,3,4,5,6,7,8;v2;1
Stripes;11;48;1,2,3;original;1
Stripes;2;2;10,20;v2;1
Curves;8;39;10,20,30;original;1
Curves;28;28;10,20,30;v2;1
Squares;28;29;2,4,6,8,10,12;original;0
Stripes;2;91;1,2,3,4;original;1
Squares;5;25;10,20,30,40;original;1
Squares;2;2;5,10,15,20,25,30,35;v2;1
Circles;4;4;3,6,9,12,15,18,21,24;v2;1
Circles;15;70;5,10,15,20,25;original;1
Circles;10;88;3,6;original;1
Curves;12;46;1,2,3,4,5,6,7,8;original;1
Squares;18;62;2,4;original;1
Curves;24;88;1,2,3,4,5,6,7;original;0
Circles;16;52;1,2,3,4,5,6,7,8;original;0
Circles;13;70;10,20;original;0
Circles;28;80;5;original;0
Curves;23;20;3,6,9,12,15,18,21,24;original;1
Stripes;25;25;3,6,9,12,15,18;v2;1
Stripes;6;78;2,4,6,8;original;0
Stripes;15;20;5,10,15;original;1
Squares;27;68;2,4,6;original;0
Stripes;9;9;1,2,3,4,5,6;v2;0
Curves;17;45;3,6,9,12,15;original;0
Squares;22;74;2,3,4,5,6,7,8;original;0
Stripes;6;53;3,6,9,12,15,18,21;original;0
Squares;13;13;1,2;v2;0
Curves;4;4;2;v2;2
Curves;20;20;3,6,9,12,15,18,21,24;v2;0
Circles;22;22;1,2;v2;2
Squares;27;27;1,2,3,4,5,6,7,8;v2;0
Circles;29;29;1,2;v2;2
Squares;11;11;3,6;v2;0
Circles;10;16;5,10,15,20,25,30,35,40;original;1
Stripes;15;51;1,2,3,4,5,6,7,8;original;1
Squares;19;19;10,20,30,40,50,60,70,80;v2;1
Stripes;12;12;5,10,15,20,25;v2;1
Stripes;4;53;3,6;original;1
Squares;7;7;3,6,9,12;v2;1
Curves;20;20;5,10,15,20,25,30,35;v2;1
Circles;17;22;2;original;0
Circles;19;19;3,6,9;v2;1
Squares;17;17;5,10,15,20,25,30,35,40;v2;1
Circles;3;3;5,10,15,20,25;v2;1
Circles;12;12;1,2,3,4;v2;1
Curves;21;41;2,4,6,8,10;original;1
Curves;7;7;1,2,3,4,5,6;v2;1
Squares;10;72;10,20;original;1
Curves;24;1;10,20,30,40,50,60,70;original;0
Curves;22;22;10,20,30,40;v2;1
Curves;20;22;1,2,3,4,5;original;1
Stripes;5;54;10,20,30,40,50,60,70;original;1
Curves;6;6;2,4,6,8,10,12,14,16;v2;1
Squares;5;5;2,3,4,5,6,7,8;v2;1
Curves;19;70;10,20,30,40,50,60,70,80;original;0
Curves;28;66;2,4,6,8,10,12,14,16;original;0
Curves;17;17;2,4,6,8,10,12,14,16;v2;1
Squares;29;29;1;v2;2
Curves;27;27;1,2,3,4,5,6;v2;0
Circles;21;21;3,6,9,12,15,18;v2;1
Squares;28;28;5,10,15;v2;1
Squares;8;28;2,3,4,5,6,7,8;original;1
Circles;20;88;2,3,4,5,6,7,8;original;0
Circles;28;28;3,6,9,12,15,18,21;v2;1
Circles;25;58;10,20;original;0
Circles;10;96;2,4,6,8,10,12,14,16;original;1
Circles;29;47;3,6,9,12,15,18,21,24;original;0
Circles;28;55;1,2,3,4,5,6,7;original;0
Circles;7;55;3,6,9,12,15;original;0
Stripes;23;21;1,2,3,4;original;1
Curves;12;93;1,2,3,4,5,6,7,8;original;0
Squares;12;48;3,6,9,12,15,18,21,24;original;1
Circles;28;28;3,6;v2;0
Stripes;22;39;3,6,9;original;0
Curves;26;26;10,20,30,40,50,60,70;v2;0
Squares;16;16;3,6,9,12,15,18,21;v2;0
Stripes;10;10;3,6,9,12,15,18,21,24;v2;0
Curves;7;34;10,20,30,40;original;1
Stripes;22;22;1,2,3,4,5,6,7;v2;0
Squares;17;51;5,10,15,20,25;original;0
Squares;18;18;2,4;v2;0
Squares;18;18;10,20,30,40,50,60,70,80;v2;0
Stripes;10;10;2,3,4,5,6,7,8;v2;1
Stripes;17;17;10,20,30,40,50,60;v2;0
Curves;20;20;3;v2;2
Curves;12;67;1,2,3,4,5,6,7,8;original;0
Circles;29;7;10,20;original;1
Squares;18;24;5,10,15,20,25,30,35,40;original;1
Curves;28;34;2,4,6,8,10,12,14,16;original;1
Squares;8;81;3,6,9,12;original;1
Circles;15;15;10;v2;1
Circles;6;68;2,4;original;0
Circles;4;4;1,2,3,4,5;v2;1
Curves;22;22;10,20,30,40;v2;1
Circles;17;63;3,6,9,12,15,18;original;0
Curves;8;5;1,2,3,4,5,6,7,8;original;1
Circles;28;64;2,4,6;original;0
Circles;28;91;1,2,3,4,5;original;0
Curves;2;2;3,6,9;v2;1
Stripes;3;96;5,10;original;1
Stripes;13;13;5,10,15,20,25,30,35,40;v2;1
Squares;28;81;2,3,4,5,6,7,8;original;0
Curves;23;61;5,10,15,20;original;0
Squares;23;23;10,20,30,40;v2;0
Squares;23;23;3;v2;0
Curves;12;75;2,4,6,8;original;0
Curves;15;15;2,4,6,8;v2;0
Squares;24;24;3;v2;0
Curves;12;12;1,2;v2;2
Squares;19;19;1;v2;2
Curves;24;24;5,10;v2;0
Circles;13;13;5,10,15,20,25;v2;1
Circles;20;36;2,3,4,5,6,7,8;original;1
Squares;21;21;2,3,4,5,6,7,8;v2;1
Stripes;7;52;1,2,3,4,5,6,7;original;1
Circles;7;7;1,2,3,4,5;v2;1
Circles;13;16;3,6,9,12,15,18;original;1
Circles;10;10;5,10,15,20,25;v2;1
Stripes;2;2;2,3,4,5,6,7,8;v2;1
Squares;8;30;2,3,4,5,6,7,8;original;1
Stripes;25;25;1,2,3,4,5,6,7,8;v2;1
Squares;14;14;5,10,15;v2;1
Circles;10;55;3,6,9,12,15,18;original;1
Circles;24;24;5,10,15,20,25,30;v2;1
Squares;19;96;2;original;1
Circles;25;85;10;original;0
Squares;19;9;1,2,3,4,5;original;0
Curves;10;10;2,3,4,5,6,7,8;v2;1
Squares;19;19;2,3,4,5,6,7,8;v2;1
Squares;27;54;5,10,15,20,25,30,35;original;1
Stripes;15;3;3,6,9,12,15,18,21;original;1
Stripes;28;74;2,4,6,8,10;original;1
Curves;13;13;2,3,4,5,6,7,8;v2;1
Curves;23;23;2,3,4,5,6,7,8;v2;1
Curves;7;96;3;original;0
Curves;2;2;2,4,6;v2;0
Stripes;7;21;2,3,4,5,6,7,8;original;1
Curves;25;9;5,10,15,20,25,30,35;original;1
Squares;18;18;5,10,15,20,25,30;v2;1
Curves;14;14;2,4,6,8,10,12,14;v2;1
Squares;4;52;3,6,9,12,15,18,21;original;1
Circles;11;11;1,2,3,4,5,6,7,8;v2;1
Circles;11;11;2,4,6,8;v2;1
Circles;4;53;10,20,30,40;original;0
Squares;12;39;10,20,30,40,50;original;1
Circles;11;11;2,4,6,8;v2;1
Circles;24;24;2,3,4,5,6,7,8;v2;1
Stripes;21;21;3;v2;1
Squares;4;4;1,2,3,4;v2;1
Stripes;15;47;5,10,15,20,25,30;original;1
Curves;5;68;5,10,15,20,25,30;original;0
Stripes;29;13;2,3,4,5,6,7,8;original;1
Curves;21;8;2,4,6,8,10,12,14;original;1
Squares;14;14;10,20,30,40,50;v2;1
Curves;10;10;3,6,9,12,15,18,21;v2;1
Curves;23;93;5,10,15,20;original;0
Stripes;4;4;1,2,3;v2;1
Curves;4;4;10,20;v2;1
Circles;9;9;1,2;v2;2
Squares;7;58;10,20,30,40,50;original;0
Curves;2;2;3,6,9,12,15,18,21,24;v2;0
Circles;14;14;5,10,15,20,25,30,35,40;v2;1
Squares;4;4;2,4,6,8,10,12;v2;1
Circles;4;39;2,4,6,8,10;original;1
Squares;11;46;5;original;1
Curves;6;6;3,6,9,12,15,18,21;v2;1
Circles;29;21;1,2,3,4,5,6,7,8;original;0
Squares;13;13;2,4,6,8,10;v2;1
Squares;25;25;2,4,6,8,10;v2;1
Stripes;9;14;2,4,6,8,10,12,14;original;1
Squares;17;85;5,10,15,20,25,30;original;1
Circles;9;9;2,4,6,8,10,12;v2;1
Circles;26;77;10;original;0
Squares;18;78;3,6,9,12;original;1
Stripes;5;75;10,20,30,40,50,60;original;1
Circles;10;10;10,20,30,40,50,60;v2;1
Curves;28;28;5,10,15,20,25,30;v2;1
Stripes;13;13;10,20;v2;1
Stripes;2;2;3,6;v2;1
Curves;6;81;2,3,4,5,6,7,8;original;0
Curves;23;23;2,4,6;v2;0
Squares;26;56;10,20,30;original;1
Curves;23;82;2,3,4,5,6,7,8;original;0
Stripes;12;26;2,3,4,5,6,7,8;original;1
Curves;28;28;3;v2;0
Circles;4;2;1,2,3,4,5,6;original;1
Squares;11;6;3,6,9,12,15;original;1
Squares;2;75;10,20;original;1
Squares;24;19;5,10,15,20,25,30;original;1
Squares;4;70;10,20,30,40;original;1
Stripes;10;9;5,10,15;original;1
Circles;25;25;2,4,6,8,10;v2;1
Circles;12;12;3,6,9;v2;1
Circles;20;46;3,6,9,12,15,18;original;1
Squares;27;47;1,2;original;1
Squares;16;16;2,4,6;v2;1
Squares;7;7;2,4,6,8,10,12;v2;1
Squares;28;28;1,2,3;v2;0
Circles;14;97;3,6;original;0
Squares;2;2;1,2;v2;2
Curves;11;11;5,10,15;v2;1
Curves;23;24;5,10,15,20;original;1
Curves;29;21;1,2,3,4,5,6;original;1
Curves;29;29;3,6,9,12;v2;1
Curves;17;17;10,20;v2;1
Stripes;28;16;2,4,6,8,10;original;0
Curves;2;38;1,2;original;0
Curves;7;82;2,3,4,5,6,7,8;original;0
Curves;3;3;5,10,15,20,25,30;v2;0
Squares;11;11;1,2;v2;0
Stripes;19;30;1,2,3,4,5,6,7,8;original;0
